data,score,city,comment,nick
2018-08-19,5,上海,怎么说，没有电视版好看，但是能看到已经很开心了作为爱情公寓的超粉,Estus.
2018-08-20,5,苏州,很好啊，怀念～,大兰Lani
2018-08-20,0.5,台州,从没有看见过这种票房的,gqS221344131
2018-08-20,1.5,郑州,不是期待中的,CvR499204723
2018-08-20,3.5,潜江,感觉就是盗墓笔记,忍者猫咪
2018-08-20,5,鞍山,很好看的电影，环境好。,feng9896
2018-08-20,5,烟台,很好看，是很多人的回忆,晶g610
2018-08-20,5,苏州,很好啊，怀念～,大兰Lani
2018-08-20,1,台州,简直玷污我对爱情公寓的忠诚,FeIIow
2018-08-20,4.5,杭州,爱情公寓我笑了很多次所以它还是爱情公寓,aFe500853157
2018-08-20,0.5,惠州,简直烂的像坨屎………,grW185294783
2018-08-20,5,菏泽,欺骗感情的烂片,sunshinekexin
2018-08-20,1,景德镇,狗血剧情，，,xip141186865
2018-08-20,3.5,新民,还是不错的，就是刚开始走错屋了，盗墓笔记哈哈，后来发现没走错，演的内容和爱情公寓好像没什么联系，不过孩子要看，陪孩子看的，孩子快乐就行了，暑假了答应陪孩子看的，自己看完感觉不深，演的还是不错的，就是内容好像脱离的电视版本,uXL135052939
2018-08-19,2,新洲区,笑点一如既往的熟悉感，但是电影宣传实在是让人感觉大打折扣。,东南枝301
2018-08-19,0.5,苏州,太烂了，演的是什么鬼,可乐too
2018-08-19,5,成都,过来了哈哈哈,hAT125302553
2018-08-19,5,天津,比较好看  但是有点坑啊,YwK158094449
2018-08-19,5,兖州,"虽然演的以是盗墓笔记加爱情公寓（噗噗）但是我觉得还是蛮好看的还是爱情公寓的调调哈哈哈哈
就是剧情有点超乎人想象😂但还是很好看的哈哈好评哦",餅乾好吃嗎
2018-08-19,3.5,北京,挂羊头卖狗肉啊,Amin_Su路由未来
2018-08-19,5,合肥,挺好的。。。。,mzf541399914
2018-08-19,3,慈溪,觉得一般般。,常常999
2018-08-19,3.5,靖江,还凑合还凑合,心若霖兮
2018-08-19,5,大连,好看，热闹，,大约在冬天
2018-08-19,0.5,武汉,不知道为什么要拍出来,ZaS253083426
2018-08-19,5,南通,美嘉还是那么可爱，那么让人心动，喜欢这样的女友和小姐姐。,快乐的小吃货587
2018-08-19,3,福州,专业搞笑，没什么内容，无厘头，小朋友爱看。,cool1717
2018-08-19,5,上海,怎么说，没有电视版好看，但是能看到已经很开心了作为爱情公寓的超粉,Estus.
2018-08-19,4,巢湖,还是在家看沙海比较好。。。,YWl714959058
2018-08-20,5,包头,内容太乱，不知道的，以为是盗墓笔记,LY薰衣草QL
2018-08-20,0.5,平凉,简直烂，直接看不懂。,大力娜
2018-08-20,4,江门,爱情公墓？？？,imperfect顾柒
2018-08-20,5,镇江,其实还不错啦，个人感觉笑点挺多。但是没有主题,thornbird05
2018-08-20,5,天津,非常喜欢！盼了好久,懒猫懒到家
2018-08-20,2.5,南安,差评不好看失望  假的爱情公寓,老友我你
2018-08-20,4,东莞,除了逻辑有点扯，其他的都不错，影院里有很多人在刷手机，真正看完的不多，对期待了这么久的电影有点失望。没有期望就没有失望，可能真的尽力了吧，整部电影完全靠回忆看完，如果没有之前对电视剧的那些回忆，可能不到一半就走了。,lwc250955125
2018-08-20,4,郑州,喜欢爱情公寓,你的娇哥.
2018-08-20,1,成都,烂，真的很烂。,dGw357822404
2018-08-20,5,昆明,青春嘛 就是这么一回事,Fku164983958
2018-08-20,5,包头,非常好。非常棒,青春年华1234
2018-08-20,0.5,大庆,"不是爱情公寓里的演员演的作品都叫爱情公寓！
此片除了演员是爱情公寓的部分演员，其他的和爱情公寓一点关系没有！",bpR152909685
2018-08-20,5,佛山,我只能说，爱情公寓永远不会让我失望,Harveyher
2018-08-20,3,青岛,年轻人和小孩看的没什么好看,gqj329499368
2018-08-20,3.5,钦州,还可以吧，感觉少了点什么,他家熊孩子
